.	common
Controller	コントローラー
Structure viewers	構造ビューア
Viewer log	ビューアのログ
This page	このページ
This web site	このウェブサイト
Contact us	お問い合わせ
PDBj Help	PDBjヘルプ
Developed by	開発者:
thermophilic	好熱性
Options	オプション
Font size	文字の大きさ
Cross-search	横断検索

EMN Search	EMN検索
EMN Statistics	EMN統計
EMN Gallery	EMNギャラリー
EM Papers	EMN文献
About EM Navigator 	EM Navigatorについて
Yorodumi Search	万見検索
Yorodumi Papers	万見文献 
Yorodumi Species	万見生物種 
About Yorodumi	万見について
Omokage search	Omokage検索
About Omokage search	Omokage検索について
Help	ヘルプ
Pages	ページ一覧
News & docs	お知らせ・ヘルプ

About this page	このページについて
article	文献
Assembly	集合体
author	著者・登録者
Basic information	基本情報
citation	引用
Comment	コメント
component	構成要素
components	要素
country	国
database	データベース
data	データ
date	日付
deposition	登録
description	解説
Details	詳細
Detail	詳細
download	ダウンロード 
EMDB entries	EMDBエントリ
entry	登録情報
entries	エントリ
experiment	実験
external links	外部リンク
gallery	ギャラリー
image	画像
keywords	キーワード
keyword	キーワード
ligand	リガンド
list	リスト
Loading	読み込み中
Loading...	読み込み中...
mode	モード
model	モデル
models	モデル
movie	ムービー
Molecule	分子
EM map	EMマップ
name	名称
News	お知らせ
nucleic_acid	核酸
number_atoms	原子数
Omokage comparison	Omokage比較
Omokage search	Omokage検索
orientation	方向
other names	他の名称
others	その他
Pages	ページ
pause	一時停止
PDB entries	PDBエントリ
play	再生
processing	解析
protein	タンパク質
release	公開
resolution	解像度
sample	試料
search	検索
Search result	検索結果
Search results	検索結果
sequence	配列
Shuffle	シャッフル
size	大きさ
solvent 	溶媒
source	由来
species	生物種
statistics	統計
Structure viewer	構造ビューア
Surface	表面
synonym	別称
table	表
title	タイトル
total	全体
type	タイプ
Version	バージョン
view	表示
wavelength	波長
Wikipedia	ウィキペディア
Yorodumi	万見
Yorodumi papers	万見文献
Yorodumi search	万見検索
year	年
journal	ジャーナル
menu	メニュー
Function	分子機能
Domain/homology	ドメイン・相同性
tile	並べて表示
Hide details	詳細を隠す
hide	隠す
Submit	送信
 items	件

Show/hide all	すべて表示・隠す
Exclusive	単独表示
日本語	English
English	日本語
ja	en

Nikkaji	日化辞
Wikipedia search	Wikipedia検索
Google search	Google検索

External DB	外部データベース
Methods	手法
method	手法

.	index
All	すべて
Covid-19	新型コロナ
Ribosome	リボソーム
Membrane	膜
Motor	モーター
Virus	ウイルス
Cell cycle	細胞周期
Protein	タンパク質
Flagellum	べん毛
Synthetic	合成
Cell	細胞
Amyloid	アミロイド
.	chem_info
medication	薬剤
chemotherapy	化学療法薬
antidepressant	抗うつ薬
neurotransmitter	神経伝達物質
neurotoxin	神経毒
agonist	アゴニスト
antagonist	アンタゴニスト
anticancer	抗がん剤
antineoplastic	抗腫瘍剤
channel blocker	チャネルブロッカー
antiretroviral	抗レトロウイルス剤
protease inhibitor	プロテアーゼ阻害剤
antifungal	抗真菌剤
antiinflammatory	抗炎症剤
anticoagulant	抗凝固剤
inhibitor	阻害剤
antipsychotic	抗精神病薬
antiarrhythmic	抗不整脈薬
detergent	可溶化剤
phospholipid	リン脂質
energy-carrying molecule	エネルギー貯蔵分子
energy-carrying molecule analogue	エネルギー貯蔵分子類似体
precipitant	沈殿剤
hormone	ホルモン
antivirus	抗ウイルス剤
antibiotic	抗生剤
redox reagent	酸化還元剤
precipitant	沈殿剤
pH buffer	pH緩衝剤


.	quick
Funding support	資金援助
ID/keywords	ID/キーワード
ID or keywords	IDまたはキーワード
Open data	データを開く
All data	全データ
Latest PDB	最新PDB
All PDB	全PDB
EMDB	EMDB
PDB-EMDB hybrid	PDB-EMDBハイブリッド
NMR	NMR
Recently viewed	最近見た構造
no data	データがありません
Helical symmetry	らせん対称
Icosahedral symmetry	正二十面体対称
Chemical componets	化学物質要素
Random choices	ランダム
EMDB pages	EMDBのページ

Links	リンク
Gene	遺伝子
entity	要素
Electron microscopy imaging	電子顕微鏡撮影
SASBDB page	SASBDBのページ
Validation report	構造検証レポート
Journal/publisher site	ジャーナル・出版社サイト
Search PubMed	PubMedで検索
Citation information	引用情報
Other databases	その他のデータベース
composition	組成
vector	ベクター
astigmatism	非点収差
holder	ホルダー
chemical formula	化学式
common name	一般名
Abstract	要旨
Tissue	組織
Biological species	生物種

history	履歴
supersession	置き換え
Processing site	処理サイト
status	状態
current status	現状
show all	すべて表示
show less	表示を減らす
ref.	文献
similarity	類似性
similarity search	類似検索

..	em
Imaging	撮影
Aggregation state	試料の集合状態
Lens	レンズ
Camera	カメラ
Detector	検出器
Magnification	倍率
Microscope	顕微鏡
Vitrification	凍結
Staining	染色
Specimen	試料
Cellular-component	細胞要素
Accelerating_voltage	加速電圧
Electron_source	電子線源
Microscope model	顕微鏡モデル
illumination_mode	照射モード
symmetry_type	対称性のタイプ
Humidity	湿度
Instrument	装置
map	マップ
virus	ウイルス
Class	クラス
Empty	中空か
enveloped	エンベロープを持つか
Isolate	単離
Diameter	直径
Shell	殻
Projections & Slices	投影像・断面図
Density	密度

tetrahedral	正4面体型対称
octahedral	正8面体型対称
icosahedral	正20面体型対称
asymmetric	非対称
Image courtesy	画像提供
EM raw data	電子顕微鏡画像生データ

.	quick-emdb
..	emn/admin
External references	外部リンク
CCP4 map header	CCP4マップヘッダ
